,query,knnrec1,knnrec2,knnrec3,knnrec4,knnrec5,knnrec6,knndist1,knndist2,knndist3,knndist4,knndist5,knndist6,lshrec1,lshrec2,lshrec3,lshrec4,lshrec5,lshrec6
0,7560015677,7560015677,7555645218,7564692903,7562808495,7558972087,7553986589,0.0,0.09725950876632827,0.16085737807480383,0.17010703274487804,0.18273060917588757,0.18940372107251058,7562684017,7565136004,7561171197,7564500743,7560978987,7563860049
0,7549455585,7549455585,7538831307,7557615472,7560922083,7552298732,7563493844,0.0,0.1008104434414272,0.11294950989835595,0.1196236542850132,0.1324775727697487,0.1359632094602684,7565436101,7565430507,7564311234,7562008222,7564108070,7564980984
0,7549435874,7549435874,7541497990,7541497677,7560921764,7560922083,7557415015,0.0,0.031768251035440565,0.048728722568023186,0.07014934496654357,0.10090840142177249,0.12406588431300336,7557337361,7563890602,7563096835,7554155943,7564306155,7564283037
0,7549463623,7549463623,7557415015,7560922083,7541497677,7552298732,7557615472,0.0,0.05318019150932973,0.0863387627106964,0.11672754338597002,0.12824243236872768,0.1316388670759333,7565676662,7558495826,7563142561,7563096835,7564306155,7564283037
0,7559995688,7559995688,7555897582,7557841862,7545888679,7562337842,7556667966,0.0,0.29574106106865394,0.3010952163784034,0.30815748356321015,0.3546557215136149,0.3629096788715005,7562539159,7557337361,7553994700,7562810909,7563880722,7564226884
0,7559979298,7559979298,7559237610,7562402463,7546665552,7565652541,7564346712,0.0,0.21305000722670353,0.2392025929677064,0.26958987352780317,0.307530235274164,0.34775625210330074,7565659070,7563889662,7563586046,7563885574,,
0,7559960010,7557386170,7559960010,7549487023,7564699366,7557771018,7547008935,0.0,0.0,0.06658316274378906,0.06658316274378906,0.08251019689205141,0.08817430325051834,7555837994,7565610459,7564157776,7563431884,7560189966,7564641862
0,7559957741,7559957741,7560115311,7561926510,7563448751,7555095884,7556234558,2.220446049250313e-16,0.08676196829275562,0.08676196829275562,0.08676196829275562,0.23810251308168162,0.279690850441374,7565627600,7564049587,7563474860,7563643869,7562917910,7564963350
0,7559925463,7559925463,7561482601,7547545835,7563282576,7565155963,7562922759,0.0,0.17183404560506466,0.19605243959334018,0.2147020291494739,0.22651655770071644,0.24029331113089636,7560115311,7565106274,7564095098,7564281066,7558778441,7563563838
0,7559915850,7559915850,7561440582,7564000113,7562643386,7562810909,7557581820,1.1102230246251565e-16,0.1441703616047313,0.15218179355217165,0.17114357119926904,0.19119417689590334,0.22890036351187504,7554765065,7562684017,7564895741,7564108070,7564989437,7563408715
0,7559875085,7559875085,7554509444,7538381709,7551379694,7551250354,7560138043,0.0,0.16552629881284808,0.20903904013153052,0.22104961369587217,0.22847378699443066,0.24248088195236794,7564200054,7554935286,7563493326,7563745310,7559385650,7562643386
0,7556289195,7556289195,7563447612,7545074442,7557964297,7565129151,7550582240,2.220446049250313e-16,0.1407782440871823,0.15390953417662012,0.18550929723428067,0.22742883296591254,0.26094996739744325,7563855761,7554016532,7562804985,7564580384,7563023732,7563381379
0,7559859597,7559859597,7557028248,7557204583,7552489024,7554657756,7558649466,0.0,0.18551034575287828,0.3365527013171423,0.35103465905052667,0.3611394441936764,0.37245717738240314,7554770882,7565573200,7553998749,7564500743,7564711394,7563860049
0,7549487023,7549487023,7564699366,7557771018,7557386170,7559960010,7547936950,0.0,0.0,0.026146763270406104,0.06658316274378895,0.06658316274378895,0.08720568438507159,,,,,,
0,7559845777,7559845777,7552420990,7564311234,7560596574,7558649466,7552770295,0.0,0.07462609200430748,0.16300724830497282,0.17029370082931428,0.17213080859894814,0.17975973678974932,7554017279,7563889662,7564238884,,,
0,7559845112,7559845112,7558787218,7564437989,7561939815,7563836329,7561149199,0.0,0.2022561991563595,0.21226691799888076,0.2333648017972283,0.2393797550118657,0.3753111706062593,7563983634,7564200054,7554935286,7559385650,,
0,7559783160,7559783160,7555538984,7553557378,7559218122,7557114744,7562763768,0.0,0.13312165016498734,0.1846338520243439,0.19118999870530473,0.195344108273375,0.1965949023561766,7558722376,7562684017,7565136004,7563643869,7560978987,7563860049
0,7557189258,7557189258,7561339303,7563280254,7551459755,7551705212,7562643386,1.1102230246251565e-16,0.09827921475955759,0.18277561727818825,0.2080950623539456,0.23138665521335433,0.26376307487751804,7562684017,7565136004,7564989437,7563643869,7563408715,7560978987
0,7559697618,7559697618,7559478745,7552320004,7552093508,7550725885,7562487300,1.1102230246251565e-16,0.023835171277194922,0.16090988737622225,0.20013829720343002,0.21372811386269075,0.22474382837156492,7560978987,7565136004,7564805648,7559155141,7559802437,7560962667
0,7559662065,7559662065,7556467787,7563626552,7552244376,7564692903,7553986589,0.0,0.28180666103466345,0.31202306386613265,0.31436253871305986,0.3207289222552129,0.3219986085540174,7558722376,7563209728,7559250668,7565054478,7563059121,7564651480
0,7559656785,7559656785,7561917438,7552487372,7559451038,7564564107,7556948072,0.0,0.14332879313948776,0.22405726906434553,0.25312655214570035,0.26292255854952706,0.2679053843551368,7554770882,7562870330,7560922083,7557988889,7554240494,7564095336
0,7559651176,7559651176,7556667966,7559995688,7557841862,7557517439,7543464763,0.0,0.47814279042167984,0.4922079097516395,0.5004944988839217,0.559154794902009,0.5619095936826135,7562539159,7557337361,7562810909,7553994700,7563880722,7564226884
0,7549870492,7549870492,7563866812,7557968401,7553770720,7559596159,7557050456,0.0,0.2547422503482526,0.2961236861949148,0.3205817806366853,0.3413118654802515,0.3625610840297969,7557810099,7563289712,7563282576,7555397744,7565123209,7561138504
0,7559623209,7559623209,7556093846,7556483466,7552770295,7553557378,7559218122,0.0,0.05863742069425548,0.17690094396825418,0.18500632841567854,0.193176184606617,0.20071487680356093,7564192374,7562539159,7552831427,7563641621,7563392055,7563390241
0,7559628974,7559628974,7547675773,7559513547,7549265438,7549264709,7558646032,0.0,0.2029031992029966,0.24705797959533915,0.3094706278394098,0.3094706278394098,0.323045579813797,7564200054,7564564107,7562583008,7554935286,7557337361,7559385650
0,7548937891,7548937891,7555837994,7557154479,7565410111,7561149199,7557527406,0.0,0.0,0.43110864094849777,0.43111603762939277,0.43482953173406735,0.4391808880690943,7559765309,7564887778,7563888900,7561138504,7558633335,7554656633
0,7559606947,7559606947,7560783268,7560555412,7563401513,7552257586,7564582834,1.1102230246251565e-16,0.10671480680339263,0.10852766872285602,0.11655929191334913,0.14377009615788217,0.15504381605136064,7563289712,7565627600,7564049587,7563474860,7559239074,7564963350
0,7559605402,7559605402,7559604441,7564852220,7560862323,7557619096,7564090148,0.0,0.2566615542419355,0.2798118440971743,0.3381345401518807,0.38171416879926046,0.4114568695067483,7564158403,7553367683,7564137352,7562647419,7561602670,7561917438
0,7559604441,7559604441,7554901679,7559605402,7560668731,7562548827,7552113265,0.0,0.25140870050953157,0.2566615542419355,0.36795937970853343,0.39925762275426036,0.4186693317775044,7558634708,7552502712,7564158403,7561971033,7564541112,7564414109
0,7559596159,7559596159,7557968401,7562917910,7565080144,7542859582,7557050456,0.0,0.024585755631214345,0.17796914366419758,0.1986255881871657,0.19914924021826985,0.1994783290460309,7562471123,7564157776,7564564107,7562583008,7557337361,7562966526
0,7548627105,7548627105,7557619096,7553256869,7560034704,7540526478,7565659070,0.0,0.2157221180116864,0.39935356222689733,0.4062264101361047,0.4075140956378165,0.4128760123731301,7564158403,,,,,
0,7548683223,7548683223,7548683588,7548682849,7554846613,7562917910,7564544132,0.0,0.0,0.0,0.22919921018508982,0.2546584031962229,0.32396106987708184,7560240928,7564171729,7554517074,7553770720,7563438962,7558633335
0,7559535118,7559535118,7551379694,7549441881,7551840401,7563002107,7552625506,0.0,0.3168218445750829,0.3335756544070142,0.34145210870763154,0.34146972253245433,0.34906116718544056,7564164418,7557233184,7562804985,7553983720,7561076681,7564497476
0,7559485693,7559380253,7559485693,7565344429,7545505583,7564852220,7555843632,0.0,0.0,0.3135764226247112,0.33175993272203075,0.33966977474309124,0.3548537525432327,7562869669,7564160634,7558175562,7553995890,7562757796,7554240494
0,7559478745,7559478745,7559697618,7552320004,7552093508,7550725885,7562487300,1.1102230246251565e-16,0.023835171277194922,0.15292602950291356,0.1951164810479915,0.21095150349389002,0.2237565808328803,7563855761,7554016532,7564580384,7563023732,7559802437,7563381379
0,7559451038,7559451038,7564732058,7564564107,7560867596,7559656785,7552487372,0.0,0.18554066826350946,0.21829782682267507,0.2486700968656821,0.25312655214570035,0.2605629107391523,7563546879,7561199704,7554770882,7553996667,7553984823,7559238164
0,7552722376,7552722376,7555036194,7564625611,7558781857,7549463623,7554509444,0.0,0.20533559689427006,0.2360668054291577,0.24057529134282374,0.24224996086025663,0.24520239617799888,7564042224,7563459980,7564781401,7564989437,7564283037,7562966526
0,7559389429,7559389429,7550953619,7546466863,7544974261,7552113265,7552109616,0.0,0.17155931855594408,0.2524509974012018,0.2524509974012018,0.26416541703707774,0.26540609892550826,7562869669,7554614221,7554476877,7553995890,7563448751,7562757796
0,7559380253,7559380253,7559485693,7565344429,7545505583,7564852220,7555843632,0.0,0.0,0.3135764226247112,0.33175993272203075,0.33966977474309124,0.3548537525432327,7562869669,7564160634,7558175562,7553995890,7562757796,7554240494
0,7549078823,7549078823,7558334950,7562430550,7565142463,7556467787,7563390241,0.0,0.39224204765078063,0.39669973576700646,0.4082273260422091,0.41277501321721166,0.41557004710896583,7565142463,7563754069,7563495310,7561171197,7564493959,7563619911
0,7547998792,7547998792,7561971033,7549547444,7548003622,7544405282,7565065066,2.220446049250313e-16,0.17825764407130829,0.1790741882452187,0.186263284086427,0.2240524306695182,0.22642441533588942,7561486617,7565080144,7564143025,7564500743,7565129151,7563866812
0,7548001174,7548001174,7548003622,7562277944,7561466881,7565573200,7556191663,0.0,0.1311146866277032,0.15281018066690277,0.18825968728824516,0.2010628457488206,0.20499987583034318,7564564107,7562583008,7564137352,7557337361,7554828595,7564699366
0,7548003622,7548003622,7548001174,7561466881,7549269190,7550269674,7556191663,0.0,0.13111468662770331,0.1577617047826837,0.17174402643698217,0.17262539278289935,0.17321352643995125,7564137829,7553994119,7560921708,7560574037,7565490492,7560484365
0,7551510807,7551510807,7551893458,7553032191,7562517152,7560263358,7555397744,0.0,0.1256253328726561,0.20894428797729325,0.20942401741880046,0.20942401741880046,0.20942401741880046,7562953527,7557329509,7552387918,7564128631,7557114698,7559237610
0,7559296687,7559296687,7564000113,7565155963,7562810909,7563232871,7557581820,0.0,0.31276305004835137,0.3156050470188273,0.33994447015292617,0.3495904531174392,0.3723325085753928,7563106310,7564834554,7560574037,7564989437,7563408715,7552440222
0,7559294175,7559294175,7564071485,7561145051,7557723544,7558646032,7560457979,2.220446049250313e-16,0.39930985161799304,0.4151679417282055,0.4369433504292757,0.45161270930246844,0.5075058196402107,7552502712,7564035524,7562648118,7560587235,7564541112,7564253043
0,7559278969,7559278969,7558722376,7561457036,7562104793,7562104702,7562932695,0.0,0.2992935894559887,0.30069958941480035,0.36664962110517574,0.36664962110517574,0.3702649279153043,7562471123,7565667427,7565057640,7556285565,7564116525,7563421785
0,7559262135,7559262135,7564990440,7556563232,7559056224,7557179390,7551761900,2.220446049250313e-16,0.06954869840181,0.11789294109568949,0.13747253831018313,0.142929765169012,0.14715312453918683,7565573200,7559481536,7553998749,7564500743,7563447612,7564487923
0,7559225210,7559225210,7551444330,7554940763,7549762350,7551926835,7561421565,0.0,0.20820014293171418,0.21434591447564655,0.2245871095941424,0.23809625616736818,0.249841080765419,7562869669,7564840645,7564606750,7557581820,7562687719,7562399849
0,7559223417,7559223417,7565430507,7559222251,7549498122,7555036194,7563860049,0.0,0.0,8.784089610136547e-06,0.22858013814435052,0.3665010958820729,0.3674188969751284,7563546879,7563538577,7563718829,7564090148,7560050580,7563860049
0,7559222251,7559222251,7565430507,7559223417,7549498122,7555036194,7563860049,0.0,8.784089610136547e-06,8.784089610136547e-06,0.23065942786107052,0.36754367114005504,0.3701153557645167,7563855761,7562548827,7554016532,7564580384,7563023732,7563381379
0,7559194409,7559194409,7562399849,7538381709,7561629219,7554509444,7554693296,3.3306690738754696e-16,0.20407502890879026,0.23813370072757722,0.23969944624631345,0.24024892497819805,0.2581000081760467,7564692903,7563735088,7564113327,7561971033,7564728321,7564699366
0,7559182611,7559182611,7549253403,7561177951,7550490021,7564690411,7556191663,0.0,0.1754935160755079,0.183594228250185,0.19768311866388222,0.20801553037237697,0.2110739798078074,7564822426,7561738077,7565652541,7564112573,7560589559,7564958805
0,7556824300,7556824300,7553307981,7565651915,7563159530,7554390782,7557560177,0.0,0.18175842924308172,0.2004932797470782,0.2069550793181073,0.21981227810663506,0.22022685074748882,7564311234,7562008222,7557733576,7556602192,7564108070,7564980984
0,7548682849,7548683223,7548683588,7548682849,7554846613,7562917910,7564544132,0.0,0.0,0.0,0.22919921018508982,0.2546584031962229,0.32396106987708184,7560240928,7564171729,7554517074,7553770720,7563438962,7558633335
0,7550467654,7550467654,7558649466,7561713513,7559481536,7560740634,7561177951,0.0,0.3078548108101462,0.33220364904054,0.34491850921970224,0.34614442738192863,0.34703163656570424,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7559119167,7559119167,7558810650,7561720178,7558618753,7556824049,7554142150,0.0,0.05670826987146571,0.0714672799771825,0.09223128176161854,0.10014901995193748,0.12075355223584594,7559484696,7556947594,7561168996,7556229244,7564091322,7558633335
0,7549031436,7549031436,7555706275,7555505413,7564112573,7563983634,7563890602,1.1102230246251565e-16,0.09833387256796933,0.12193530821592424,0.1330176560309101,0.13371660766072913,0.13598251695256447,7563408715,7558722376,7563644199,7564989437,7563643869,7560978987
0,7559076547,7559076547,7562727657,7559077147,7563493326,7563546879,7563489134,0.0,0.02630370918244962,0.0901959531707901,0.11483604195494834,0.12891518548872083,0.1433280619482219,7564822426,7561738077,7557988889,7564095336,7559802437,7564976737
0,7559077147,7559077147,7562727657,7559076547,7563493326,7563546879,7562804985,1.1102230246251565e-16,0.08456420211784121,0.0901959531707901,0.09297597940330593,0.10962227532263102,0.14991767360287322,7557988889,7554828595,7564095213,7564095336,7564980984,7564976737
0,7559051487,7559051487,7557581820,7562643386,7564000113,7562471123,7559688868,1.1102230246251565e-16,0.1546852911947657,0.1751632126761462,0.18531678064304125,0.20761644624133735,0.209456521972471,7563232871,7562684017,7562648118,7561859932,7561708566,7554733142
0,7552257586,7552257586,7563401513,7560555412,7561400802,7559606947,7543519603,0.0,0.03193666709460086,0.12156270565848715,0.12550070284075154,0.14377009615788217,0.15287491068665127,7563754069,7563745310,7563495310,7564580384,7563619911,7560034704
0,7558991204,7558991204,7555780829,7560772432,7558621837,7549253403,7562953527,0.0,0.16964515669764624,0.18217129822198141,0.21232919558814434,0.21949026124030935,0.22373006186820332,7560001897,7563735088,7563132339,7564108070,7563354682,7563860049
0,7548570455,7548570455,7547545835,7559925463,7561738077,7562661337,7562922759,0.0,0.20703632539766148,0.32653832369136504,0.32865692154628146,0.3305497171465166,0.3305497171465166,7560115311,7563643988,7565106274,7564095098,7564281066,7563563838
0,7547850909,7547850909,7565070087,7557964948,7544997650,7557517439,7557581820,0.0,0.3251078832833635,0.367211853525526,0.3880490639746551,0.4124303167599779,0.440286154103705,7563106310,7564834554,7552753648,7562757796,7563447612,7564559029
0,7558896596,7558896596,7562910111,7563392055,7544997650,7558477011,7564192374,1.1102230246251565e-16,0.2412982731958122,0.25060322567212445,0.26530374019309844,0.29811918019715045,0.31382629917191474,7565441049,7557615472,7562977137,7565511706,7565490492,7557031593
